business_name,industry,address,city,state,zip,phone_number,website,google_rating,total_reviews,place_id,latitude,longitude,created_at
1000 Speer by Windsor Apartments,apartments,"1000 Speer Blvd, Denver, CO 80204, USA",Denver,CO,80204,(720) 759-3578,https://www.windsorcommunities.com/properties/1000-speer-by-windsor/?utm_campaign=GoogleMyBusiness,4.2,156,ChIJ1-G2qC5_bIcRcUo9d8YWpBM,39.732473899999995,-104.99197559999999,2026-02-12T13:51:53.987228+00:00
1600 Glenarm Place,apartments,"1600 Glenarm Pl, Denver, CO 80202, USA",Denver,CO,80202,(855) 684-1132,https://www.1600glenarmapts.com/?rccustomid=NDk5Njk%3D-4We6NPvI8qk%3D&utm_source=gmb&utm_medium=organic,3.4,228,ChIJU3fa7NZ4bIcRRh14cvUbXH4,39.7440437,-104.9899808,2026-02-12T13:51:59.487104+00:00
1919 Mile High,apartments,"1919 Mile High Stadium Cir, Denver, CO 80204, USA",Denver,CO,80204,(970) 659-6762,https://1919milehigh.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic,4.3,86,ChIJ8dgI6_x5bIcR30HGs-ODCpc,39.7466161,-105.0203758,2026-02-12T13:51:54.008226+00:00
2020 Lawrence Apartments,apartments,"2020 Lawrence St, Denver, CO 80205, USA",Denver,CO,80205,(720) 776-2013,https://2020lawrence.com/,4.2,179,ChIJBVtIUdl4bIcRD4Y9MRFjREs,39.7522847,-104.99116339999999,2026-02-12T13:51:59.478940+00:00
20th Street Station Apartments,apartments,"2080 California St, Denver, CO 80205, USA",Denver,CO,80205,(866) 535-4052,https://www.20thstreetstation.com/,4.1,382,ChIJS05icFV5bIcRBVKIav_0nQg,39.7495882,-104.98626999999999,2026-02-12T13:51:56.895714+00:00
7/S Denver Haus Apartments,apartments,"175 E 7th Ave, Denver, CO 80203, USA",Denver,CO,80203,(719) 824-3851,https://redpeak.com/apartments/7s-denver-haus/?utm_source=googlemybusiness,4.4,53,ChIJ6cwEE9h-bIcRCwiSx4pJiSE,39.727433999999995,-104.98523759999999,2026-02-12T13:51:59.517380+00:00
AMLI Art District,apartments,"2520 Wewatta Way, Denver, CO 80216, USA",Denver,CO,80216,(888) 283-0652,https://www.amli.com/apartments/denver/rino-apartments/amli-art-district?switch_code=58696&utm_source=gmb&utm_medium=organic&utm_campaign=ArtDistrict,4.7,163,ChIJd0JA5mZ5bIcR2MDMhb8YzdU,39.7616758,-104.99042999999999,2026-02-12T13:51:54.054302+00:00
AMLI Park Avenue,apartments,"755 E 19th Ave, Denver, CO 80203, USA",Denver,CO,80203,(855) 540-8960,https://www.amli.com/apartments/denver/downtown-denver-apartments/amli-park-avenue?switch_code=58696&utm_source=gmb&utm_medium=organic&utm_campaign=ParkAvenue,4.6,126,ChIJJ_Hv6C55bIcRyXsDCgmbJNI,39.746350400000004,-104.9781891,2026-02-12T13:51:56.826279+00:00
AMLI at Uptown,apartments,"1633 N Pearl St, Denver, CO 80203, USA",Denver,CO,80203,(833) 429-3363,https://www.amli.com/apartments/denver/uptown-denver-apartments/amli-at-uptown?switch_code=58696&utm_source=gmb&utm_medium=organic&utm_campaign=atUptown,4.2,221,ChIJiwL9qRR5bIcRh1GadjjkEZo,39.7430904,-104.9800947,2026-02-12T13:51:53.971580+00:00
Acoma Apartments,apartments,"816 Acoma St, Denver, CO 80204, USA",Denver,CO,80204,(877) 620-3336,https://www.acomaliving.com/?rcstdid=Mg==-YRjTEizZPgM=&utm_source=google&utm_medium=organic&utm_campaign=gmb,4.3,139,ChIJ_61m9Ch_bIcRh7cue1FgEHA,39.729569999999995,-104.98825029999999,2026-02-12T13:51:56.904327+00:00
